primary_sentence,secondary_sentence,label
No pude matricularme durante matriculas ordinarias,Proceso de Reingreso a Pregrado,0
No pude matricularme durante matriculas ordinarias,Necesito regresar a mi carrera,0
No pude matricularme durante matriculas ordinarias,¿Qué debo hacer para regresar a mi carrera?,0
No pude matricularme durante matriculas ordinarias,Datos Socioeconómicos para el Reingreso a Pregrado,0
No pude matricularme durante matriculas ordinarias,¿Qué requisitos necesito para regresar a mi carrera?,0
No pude matricularme durante matriculas ordinarias,¿Cómo se si puedo volver a mi carrera?,0
No pude matricularme durante matriculas ordinarias,Cómo Seleccionar el Número de Partes para el Pago,0
No pude matricularme durante matriculas ordinarias,Quiero saber cómo dividir el pago de la matrícula,0
No pude matricularme durante matriculas ordinarias,¿Cómo elijo las cuotas para la matrícula?,0
No pude matricularme durante matriculas ordinarias,Fechas de Pago y Consecuencias de Retrasos,0
No pude matricularme durante matriculas ordinarias,Información sobre fechas de pago y penalizaciones por retraso,0
No pude matricularme durante matriculas ordinarias,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
No pude matricularme durante matriculas ordinarias,Política de Recargos por Retraso en el Pago de Cuotas,0
No pude matricularme durante matriculas ordinarias,Información sobre recargos por retraso en pagos,0
No pude matricularme durante matriculas ordinarias,Necesito detalles sobre los recargos por retraso en los pagos,0
No pude matricularme durante matriculas ordinarias,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
No pude matricularme durante matriculas ordinarias,Soluciones para dificultades económicas en el pago de cuotas,0
No pude matricularme durante matriculas ordinarias,¿Cómo actuar si no pago la cuota a tiempo?,0
No pude matricularme durante matriculas ordinarias,Facturación y Pagos en el Sistema SAEw,0
No pude matricularme durante matriculas ordinarias,Información sobre la facturación en el sistema SAEw,0
No pude matricularme durante matriculas ordinarias,Detalles sobre el proceso de facturación en el sistema SAEw,0
No pude matricularme durante matriculas ordinarias,Calendario Académico e Inicio de Clases,0.2
No pude matricularme durante matriculas ordinarias,Inicio de clases para el nuevo periodo académico,0
No pude matricularme durante matriculas ordinarias,Cronograma actividades académicas,0
No pude matricularme durante matriculas ordinarias,Aportes Voluntarios,0
No pude matricularme durante matriculas ordinarias,¿Cómo hacer aportes voluntarios?,0
No pude matricularme durante matriculas ordinarias,Aportes a la FEPON,0
No pude matricularme durante matriculas ordinarias,Pérdida de la Gratuidad,0
No pude matricularme durante matriculas ordinarias,Pérdida de gratuidad por cambio de carrera,0
No pude matricularme durante matriculas ordinarias,¿Bajo qué circunstancias se puede perder la gratuidad?,0
No pude matricularme durante matriculas ordinarias,"Retiro Voluntario de una, varias o todas las Asignaturas",0
No pude matricularme durante matriculas ordinarias,Formulario para el retiro voluntario de asignaturas,0
No pude matricularme durante matriculas ordinarias,Proceso retirar todas las asignaturas,0
No pude matricularme durante matriculas ordinarias,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
No pude matricularme durante matriculas ordinarias,¿Cómo retirar asignaturas por caso fortuito?,0
No pude matricularme durante matriculas ordinarias,¿Solicitar retiro por fuerza mayor durante el semestre?,0
No pude matricularme durante matriculas ordinarias,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
No pude matricularme durante matriculas ordinarias,Formulario para retiro extemporáneo en la EPN,0
No pude matricularme durante matriculas ordinarias,Plazo para el retiro extemporáneo de asignaturas,0
No pude matricularme durante matriculas ordinarias,Concesión de Tercera Matrícula para Tercer Nivel,0.2
No pude matricularme durante matriculas ordinarias,Condiciones para obtener una tercera matrícula,0.2
No pude matricularme durante matriculas ordinarias,Formulario y requisitos tercera matrícula,0.3
No pude matricularme durante matriculas ordinarias,Asignaturas que No Otorgan Créditos,0
No pude matricularme durante matriculas ordinarias,¿Cuáles son asignaturas sin créditos?,0
No pude matricularme durante matriculas ordinarias,¿Deportes y Clubes otorgan créditos?,0
No pude matricularme durante matriculas ordinarias,Prácticas Preprofesionales,0
No pude matricularme durante matriculas ordinarias,¿Cómo son prácticas preprofesionales?,0
No pude matricularme durante matriculas ordinarias,¿Cómo aprobar prácticas preprofesionales?,0
No pude matricularme durante matriculas ordinarias,Inscripciones en Otras Unidades Académicas,0
No pude matricularme durante matriculas ordinarias,¿Cómo inscribirme en asignaturas de otras unidades?,0
No pude matricularme durante matriculas ordinarias,Restricciones para inscripción en otras unidades,0
No pude matricularme durante matriculas ordinarias,Mallas Curriculares,0
No pude matricularme durante matriculas ordinarias,¿Dónde ver mallas curriculares de mi carrera?,0
No pude matricularme durante matriculas ordinarias,¿Cómo consultar mallas curriculares?,0
No pude matricularme durante matriculas ordinarias,Honestidad Académica y Código de Ética,0
No pude matricularme durante matriculas ordinarias,Reglamento de disciplina y sanciones,0
No pude matricularme durante matriculas ordinarias,¿Puedo solicitar clarificaciones sobre código de ética?,0
No pude matricularme durante matriculas ordinarias,Restricciones para Matriculación,0.3
No pude matricularme durante matriculas ordinarias,Cómo solucionar restricciones de matriculación,0.3
No pude matricularme durante matriculas ordinarias,¿Excepciones a restricciones de matriculación?,0.25
No pude matricularme durante matriculas ordinarias,Suficiencia en Inglés,0
No pude matricularme durante matriculas ordinarias,¿Cómo obtener la suficiencia en inglés?,0
No pude matricularme durante matriculas ordinarias,Proceso de inscripción en el inglés para niveles superiores,0
No pude matricularme durante matriculas ordinarias,Limitaciones por Suficiencia de Inglés,0
No pude matricularme durante matriculas ordinarias,Suficiencia de inglés y límites de créditos,0
No pude matricularme durante matriculas ordinarias,¿Cómo afecta la suficiencia de inglés a la cantidad de créditos permitidos?,0
No pude matricularme durante matriculas ordinarias,Hola,0
No pude matricularme durante matriculas ordinarias,Hola pantera,0
No pude matricularme durante matriculas ordinarias,Necesito ayuda,0
No pude matricularme durante matriculas ordinarias,Gracias,0
No pude matricularme durante matriculas ordinarias,Muchas gracias,0
No pude matricularme durante matriculas ordinarias,Te agradezco mucho,0
¿Cómo puedo pedir una matrícula extraordinaria?,Matrícula Ordinaria,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿En qué fechas inician las matrículas ordinarias?,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,Calendario académico para matrículas ordinarias,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,Requisitos de una Matrícula Ordinaria,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,¿Qué requisitos necesito para matricularme?,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,Pasos previos para una matrícula ordinaria,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,Procedimiento para una Matrícula Ordinaria,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,¿Qué pasos debo seguir para matricularme?,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,¿Qué se hace durante una matrícula ordinaria?,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,Matrícula Ordinaria Asistida,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,Quiero una matrícula asistida,0.1
¿Cómo puedo pedir una matrícula extraordinaria?,No hubo cupo en todas mis asignaturas,0.2
¿Cómo puedo pedir una matrícula extraordinaria?,Matrícula Especial,0.2
¿Cómo puedo pedir una matrícula extraordinaria?,¿Para que sirve una matrícula especial?,0.2
¿Cómo puedo pedir una matrícula extraordinaria?,¿En qué casos puedo pedir una matrícula especial?,0.15
¿Cómo puedo pedir una matrícula extraordinaria?,Proceso para una Matrícula Especial,0.15
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo solicito una matrícula especial?,0.15
¿Cómo puedo pedir una matrícula extraordinaria?,Pedir una matrícula especial por casos de fuerza mayor,0.15
¿Cómo puedo pedir una matrícula extraordinaria?,Tipos de Becas,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo solicito una beca?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Necesito información sobre las becas,0
¿Cómo puedo pedir una matrícula extraordinaria?,Becas al Mérito Cultural,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Puedo pedir una beca al mérito cultural?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Procedimiento para una beca al mérito cultural,0
¿Cómo puedo pedir una matrícula extraordinaria?,Becas por Excelencia Académica,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Puedo pedir una beca por excelencia académica?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Procedimiento para una beca por excelencia académica,0
¿Cómo puedo pedir una matrícula extraordinaria?,Becas por Vulnerabilidad por Situación Económica,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Puedo pedir una beca por vulnerabilidad económica?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Procedimiento para una beca por vulnerabilidad económica,0
¿Cómo puedo pedir una matrícula extraordinaria?,Actualización de Datos Socioeconómicos,0
¿Cómo puedo pedir una matrícula extraordinaria?,Quiero actualizar mis datos socioeconómicos,0
¿Cómo puedo pedir una matrícula extraordinaria?,Mi información socioeconómica es incorrecta,0
¿Cómo puedo pedir una matrícula extraordinaria?,Proceso de Reingreso a Pregrado,0
¿Cómo puedo pedir una matrícula extraordinaria?,Necesito regresar a mi carrera,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Qué debo hacer para regresar a mi carrera?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Datos Socioeconómicos para el Reingreso a Pregrado,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Qué requisitos necesito para regresar a mi carrera?,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo se si puedo volver a mi carrera?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Cómo Seleccionar el Número de Partes para el Pago,0
¿Cómo puedo pedir una matrícula extraordinaria?,Quiero saber cómo dividir el pago de la matrícula,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo elijo las cuotas para la matrícula?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Fechas de Pago y Consecuencias de Retrasos,0
¿Cómo puedo pedir una matrícula extraordinaria?,Información sobre fechas de pago y penalizaciones por retraso,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Política de Recargos por Retraso en el Pago de Cuotas,0
¿Cómo puedo pedir una matrícula extraordinaria?,Información sobre recargos por retraso en pagos,0
¿Cómo puedo pedir una matrícula extraordinaria?,Necesito detalles sobre los recargos por retraso en los pagos,0
¿Cómo puedo pedir una matrícula extraordinaria?,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
¿Cómo puedo pedir una matrícula extraordinaria?,Soluciones para dificultades económicas en el pago de cuotas,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo actuar si no pago la cuota a tiempo?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Facturación y Pagos en el Sistema SAEw,0
¿Cómo puedo pedir una matrícula extraordinaria?,Información sobre la facturación en el sistema SAEw,0
¿Cómo puedo pedir una matrícula extraordinaria?,Detalles sobre el proceso de facturación en el sistema SAEw,0
¿Cómo puedo pedir una matrícula extraordinaria?,Calendario Académico e Inicio de Clases,0
¿Cómo puedo pedir una matrícula extraordinaria?,Inicio de clases para el nuevo periodo académico,0
¿Cómo puedo pedir una matrícula extraordinaria?,Cronograma actividades académicas,0
¿Cómo puedo pedir una matrícula extraordinaria?,Aportes Voluntarios,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo hacer aportes voluntarios?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Aportes a la FEPON,0
¿Cómo puedo pedir una matrícula extraordinaria?,Pérdida de la Gratuidad,0
¿Cómo puedo pedir una matrícula extraordinaria?,Pérdida de gratuidad por cambio de carrera,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Bajo qué circunstancias se puede perder la gratuidad?,0
¿Cómo puedo pedir una matrícula extraordinaria?,"Retiro Voluntario de una, varias o todas las Asignaturas",0
¿Cómo puedo pedir una matrícula extraordinaria?,Formulario para el retiro voluntario de asignaturas,0
¿Cómo puedo pedir una matrícula extraordinaria?,Proceso retirar todas las asignaturas,0
¿Cómo puedo pedir una matrícula extraordinaria?,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo retirar asignaturas por caso fortuito?,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Solicitar retiro por fuerza mayor durante el semestre?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
¿Cómo puedo pedir una matrícula extraordinaria?,Formulario para retiro extemporáneo en la EPN,0
¿Cómo puedo pedir una matrícula extraordinaria?,Plazo para el retiro extemporáneo de asignaturas,0
¿Cómo puedo pedir una matrícula extraordinaria?,Concesión de Tercera Matrícula para Tercer Nivel,0.3
¿Cómo puedo pedir una matrícula extraordinaria?,Condiciones para obtener una tercera matrícula,0.25
¿Cómo puedo pedir una matrícula extraordinaria?,Formulario y requisitos tercera matrícula,0.25
¿Cómo puedo pedir una matrícula extraordinaria?,Asignaturas que No Otorgan Créditos,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cuáles son asignaturas sin créditos?,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Deportes y Clubes otorgan créditos?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Prácticas Preprofesionales,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo son prácticas preprofesionales?,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo aprobar prácticas preprofesionales?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Inscripciones en Otras Unidades Académicas,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo inscribirme en asignaturas de otras unidades?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Restricciones para inscripción en otras unidades,0
¿Cómo puedo pedir una matrícula extraordinaria?,Mallas Curriculares,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Dónde ver mallas curriculares de mi carrera?,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo consultar mallas curriculares?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Honestidad Académica y Código de Ética,0
¿Cómo puedo pedir una matrícula extraordinaria?,Reglamento de disciplina y sanciones,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Puedo solicitar clarificaciones sobre código de ética?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Restricciones para Matriculación,0.3
¿Cómo puedo pedir una matrícula extraordinaria?,Cómo solucionar restricciones de matriculación,0.3
¿Cómo puedo pedir una matrícula extraordinaria?,¿Excepciones a restricciones de matriculación?,0.25
¿Cómo puedo pedir una matrícula extraordinaria?,Suficiencia en Inglés,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo obtener la suficiencia en inglés?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Proceso de inscripción en el inglés para niveles superiores,0
¿Cómo puedo pedir una matrícula extraordinaria?,Limitaciones por Suficiencia de Inglés,0
¿Cómo puedo pedir una matrícula extraordinaria?,Suficiencia de inglés y límites de créditos,0
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo afecta la suficiencia de inglés a la cantidad de créditos permitidos?,0
¿Cómo puedo pedir una matrícula extraordinaria?,Hola,0
¿Cómo puedo pedir una matrícula extraordinaria?,Hola pantera,0
¿Cómo puedo pedir una matrícula extraordinaria?,Necesito ayuda,0
¿Cómo puedo pedir una matrícula extraordinaria?,Gracias,0
¿Cómo puedo pedir una matrícula extraordinaria?,Muchas gracias,0
¿Cómo puedo pedir una matrícula extraordinaria?,Te agradezco mucho,0
Matrícula Ordinaria,Requisitos de una Matrícula Ordinaria,0.4
Matrícula Ordinaria,¿Qué requisitos necesito para matricularme?,0.35
Matrícula Ordinaria,Pasos previos para una matrícula ordinaria,0.4
Matrícula Ordinaria,Procedimiento para una Matrícula Ordinaria,0.4
Matrícula Ordinaria,¿Qué pasos debo seguir para matricularme?,0.35
Matrícula Ordinaria,¿Qué se hace durante una matrícula ordinaria?,0.35
Matrícula Ordinaria,Matrícula Ordinaria Asistida,0.25
Matrícula Ordinaria,Quiero una matrícula asistida,0.25
Matrícula Ordinaria,No hubo cupo en todas mis asignaturas,0.4
Matrícula Ordinaria,Matrícula Especial,0.2
Matrícula Ordinaria,¿Para que sirve una matrícula especial?,0.2
Matrícula Ordinaria,¿En qué casos puedo pedir una matrícula especial?,0.1
Matrícula Ordinaria,Proceso para una Matrícula Especial,0.1
Matrícula Ordinaria,¿Cómo solicito una matrícula especial?,0.1
Matrícula Ordinaria,Pedir una matrícula especial por casos de fuerza mayor,0.2
Matrícula Ordinaria,Tipos de Becas,0
Matrícula Ordinaria,¿Cómo solicito una beca?,0
Matrícula Ordinaria,Necesito información sobre las becas,0
Matrícula Ordinaria,Becas al Mérito Cultural,0
Matrícula Ordinaria,¿Puedo pedir una beca al mérito cultural?,0
Matrícula Ordinaria,Procedimiento para una beca al mérito cultural,0
Matrícula Ordinaria,Becas por Excelencia Académica,0
Matrícula Ordinaria,¿Puedo pedir una beca por excelencia académica?,0
Matrícula Ordinaria,Procedimiento para una beca por excelencia académica,0
Matrícula Ordinaria,Becas por Vulnerabilidad por Situación Económica,0
Matrícula Ordinaria,¿Puedo pedir una beca por vulnerabilidad económica?,0
Matrícula Ordinaria,Procedimiento para una beca por vulnerabilidad económica,0
Matrícula Ordinaria,Actualización de Datos Socioeconómicos,0
Matrícula Ordinaria,Quiero actualizar mis datos socioeconómicos,0
Matrícula Ordinaria,Mi información socioeconómica es incorrecta,0
Matrícula Ordinaria,Proceso de Reingreso a Pregrado,0
Matrícula Ordinaria,Necesito regresar a mi carrera,0
Matrícula Ordinaria,¿Qué debo hacer para regresar a mi carrera?,0
Matrícula Ordinaria,Datos Socioeconómicos para el Reingreso a Pregrado,0
Matrícula Ordinaria,¿Qué requisitos necesito para regresar a mi carrera?,0
Matrícula Ordinaria,¿Cómo se si puedo volver a mi carrera?,0
Matrícula Ordinaria,Cómo Seleccionar el Número de Partes para el Pago,0
Matrícula Ordinaria,Quiero saber cómo dividir el pago de la matrícula,0.1
Matrícula Ordinaria,¿Cómo elijo las cuotas para la matrícula?,0.1
Matrícula Ordinaria,Fechas de Pago y Consecuencias de Retrasos,0
Matrícula Ordinaria,Información sobre fechas de pago y penalizaciones por retraso,0
Matrícula Ordinaria,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
Matrícula Ordinaria,Política de Recargos por Retraso en el Pago de Cuotas,0
Matrícula Ordinaria,Información sobre recargos por retraso en pagos,0
Matrícula Ordinaria,Necesito detalles sobre los recargos por retraso en los pagos,0
Matrícula Ordinaria,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
Matrícula Ordinaria,Soluciones para dificultades económicas en el pago de cuotas,0
Matrícula Ordinaria,¿Cómo actuar si no pago la cuota a tiempo?,0
Matrícula Ordinaria,Facturación y Pagos en el Sistema SAEw,0
Matrícula Ordinaria,Información sobre la facturación en el sistema SAEw,0
Matrícula Ordinaria,Detalles sobre el proceso de facturación en el sistema SAEw,0
Matrícula Ordinaria,Calendario Académico e Inicio de Clases,0
Matrícula Ordinaria,Inicio de clases para el nuevo periodo académico,0
Matrícula Ordinaria,Cronograma actividades académicas,0
Matrícula Ordinaria,Aportes Voluntarios,0
Matrícula Ordinaria,¿Cómo hacer aportes voluntarios?,0
Matrícula Ordinaria,Aportes a la FEPON,0
Matrícula Ordinaria,Pérdida de la Gratuidad,0
Matrícula Ordinaria,Pérdida de gratuidad por cambio de carrera,0
Matrícula Ordinaria,¿Bajo qué circunstancias se puede perder la gratuidad?,0
Matrícula Ordinaria,"Retiro Voluntario de una, varias o todas las Asignaturas",0
Matrícula Ordinaria,Formulario para el retiro voluntario de asignaturas,0
Matrícula Ordinaria,Proceso retirar todas las asignaturas,0
Matrícula Ordinaria,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Matrícula Ordinaria,¿Cómo retirar asignaturas por caso fortuito?,0
Matrícula Ordinaria,¿Solicitar retiro por fuerza mayor durante el semestre?,0
Matrícula Ordinaria,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Matrícula Ordinaria,Formulario para retiro extemporáneo en la EPN,0
Matrícula Ordinaria,Plazo para el retiro extemporáneo de asignaturas,0
Matrícula Ordinaria,Concesión de Tercera Matrícula para Tercer Nivel,0
Matrícula Ordinaria,Condiciones para obtener una tercera matrícula,0.25
Matrícula Ordinaria,Formulario y requisitos tercera matrícula,0.3
Matrícula Ordinaria,Asignaturas que No Otorgan Créditos,0
Matrícula Ordinaria,¿Cuáles son asignaturas sin créditos?,0
Matrícula Ordinaria,¿Deportes y Clubes otorgan créditos?,0
Matrícula Ordinaria,Prácticas Preprofesionales,0
Matrícula Ordinaria,¿Cómo son prácticas preprofesionales?,0
Matrícula Ordinaria,¿Cómo aprobar prácticas preprofesionales?,0
Matrícula Ordinaria,Inscripciones en Otras Unidades Académicas,0
Matrícula Ordinaria,¿Cómo inscribirme en asignaturas de otras unidades?,0
Matrícula Ordinaria,Restricciones para inscripción en otras unidades,0
Matrícula Ordinaria,Mallas Curriculares,0
Matrícula Ordinaria,¿Dónde ver mallas curriculares de mi carrera?,0
Matrícula Ordinaria,¿Cómo consultar mallas curriculares?,0
Matrícula Ordinaria,Honestidad Académica y Código de Ética,0
Matrícula Ordinaria,Reglamento de disciplina y sanciones,0
Matrícula Ordinaria,¿Puedo solicitar clarificaciones sobre código de ética?,0
Matrícula Ordinaria,Restricciones para Matriculación,0
Matrícula Ordinaria,Cómo solucionar restricciones de matriculación,0.3
Matrícula Ordinaria,¿Excepciones a restricciones de matriculación?,0.25
Matrícula Ordinaria,Suficiencia en Inglés,0
Matrícula Ordinaria,¿Cómo obtener la suficiencia en inglés?,0
Matrícula Ordinaria,Proceso de inscripción en el inglés para niveles superiores,0
Matrícula Ordinaria,Limitaciones por Suficiencia de Inglés,0
Matrícula Ordinaria,Suficiencia de inglés y límites de créditos,0
Matrícula Ordinaria,¿Cómo afecta la suficiencia de inglés a la cantidad de créditos permitidos?,0
Matrícula Ordinaria,Hola,0
Matrícula Ordinaria,Hola pantera,0
Matrícula Ordinaria,Necesito ayuda,0
Matrícula Ordinaria,Gracias,0
Matrícula Ordinaria,Muchas gracias,0
Matrícula Ordinaria,Te agradezco mucho,0
¿En qué fechas inician las matrículas ordinarias?,Requisitos de una Matrícula Ordinaria,0.3
¿En qué fechas inician las matrículas ordinarias?,¿Qué requisitos necesito para matricularme?,0.25
¿En qué fechas inician las matrículas ordinarias?,Pasos previos para una matrícula ordinaria,0.2
¿En qué fechas inician las matrículas ordinarias?,Procedimiento para una Matrícula Ordinaria,0.2
¿En qué fechas inician las matrículas ordinarias?,¿Qué pasos debo seguir para matricularme?,0.2
¿En qué fechas inician las matrículas ordinarias?,¿Qué se hace durante una matrícula ordinaria?,0.3
¿En qué fechas inician las matrículas ordinarias?,Matrícula Ordinaria Asistida,0.5
¿En qué fechas inician las matrículas ordinarias?,Quiero una matrícula asistida,0.4
¿En qué fechas inician las matrículas ordinarias?,No hubo cupo en todas mis asignaturas,0.1
¿En qué fechas inician las matrículas ordinarias?,Matrícula Especial,0.3
¿En qué fechas inician las matrículas ordinarias?,¿Para que sirve una matrícula especial?,0.25
¿En qué fechas inician las matrículas ordinarias?,¿En qué casos puedo pedir una matrícula especial?,0.25
¿En qué fechas inician las matrículas ordinarias?,Proceso para una Matrícula Especial,0.1
¿En qué fechas inician las matrículas ordinarias?,¿Cómo solicito una matrícula especial?,0.1
¿En qué fechas inician las matrículas ordinarias?,Pedir una matrícula especial por casos de fuerza mayor,0.15
¿En qué fechas inician las matrículas ordinarias?,Tipos de Becas,0
¿En qué fechas inician las matrículas ordinarias?,¿Cómo solicito una beca?,0
¿En qué fechas inician las matrículas ordinarias?,Necesito información sobre las becas,0
¿En qué fechas inician las matrículas ordinarias?,Becas al Mérito Cultural,0
¿En qué fechas inician las matrículas ordinarias?,¿Puedo pedir una beca al mérito cultural?,0
¿En qué fechas inician las matrículas ordinarias?,Procedimiento para una beca al mérito cultural,0
¿En qué fechas inician las matrículas ordinarias?,Becas por Excelencia Académica,0
¿En qué fechas inician las matrículas ordinarias?,¿Puedo pedir una beca por excelencia académica?,0
¿En qué fechas inician las matrículas ordinarias?,Procedimiento para una beca por excelencia académica,0
¿En qué fechas inician las matrículas ordinarias?,Becas por Vulnerabilidad por Situación Económica,0
¿En qué fechas inician las matrículas ordinarias?,¿Puedo pedir una beca por vulnerabilidad económica?,0
¿En qué fechas inician las matrículas ordinarias?,Procedimiento para una beca por vulnerabilidad económica,0
¿En qué fechas inician las matrículas ordinarias?,Actualización de Datos Socioeconómicos,0
¿En qué fechas inician las matrículas ordinarias?,Quiero actualizar mis datos socioeconómicos,0
¿En qué fechas inician las matrículas ordinarias?,Mi información socioeconómica es incorrecta,0
¿En qué fechas inician las matrículas ordinarias?,Proceso de Reingreso a Pregrado,0
¿En qué fechas inician las matrículas ordinarias?,Necesito regresar a mi carrera,0
¿En qué fechas inician las matrículas ordinarias?,¿Qué debo hacer para regresar a mi carrera?,0
¿En qué fechas inician las matrículas ordinarias?,Datos Socioeconómicos para el Reingreso a Pregrado,0
¿En qué fechas inician las matrículas ordinarias?,¿Qué requisitos necesito para regresar a mi carrera?,0
¿En qué fechas inician las matrículas ordinarias?,¿Cómo se si puedo volver a mi carrera?,0
¿En qué fechas inician las matrículas ordinarias?,Cómo Seleccionar el Número de Partes para el Pago,0
¿En qué fechas inician las matrículas ordinarias?,Quiero saber cómo dividir el pago de la matrícula,0.3
¿En qué fechas inician las matrículas ordinarias?,¿Cómo elijo las cuotas para la matrícula?,0.25
¿En qué fechas inician las matrículas ordinarias?,Fechas de Pago y Consecuencias de Retrasos,0
¿En qué fechas inician las matrículas ordinarias?,Información sobre fechas de pago y penalizaciones por retraso,0
¿En qué fechas inician las matrículas ordinarias?,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
¿En qué fechas inician las matrículas ordinarias?,Política de Recargos por Retraso en el Pago de Cuotas,0
¿En qué fechas inician las matrículas ordinarias?,Información sobre recargos por retraso en pagos,0
¿En qué fechas inician las matrículas ordinarias?,Necesito detalles sobre los recargos por retraso en los pagos,0
¿En qué fechas inician las matrículas ordinarias?,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
¿En qué fechas inician las matrículas ordinarias?,Soluciones para dificultades económicas en el pago de cuotas,0
¿En qué fechas inician las matrículas ordinarias?,¿Cómo actuar si no pago la cuota a tiempo?,0
¿En qué fechas inician las matrículas ordinarias?,Facturación y Pagos en el Sistema SAEw,0
¿En qué fechas inician las matrículas ordinarias?,Información sobre la facturación en el sistema SAEw,0
¿En qué fechas inician las matrículas ordinarias?,Detalles sobre el proceso de facturación en el sistema SAEw,0
¿En qué fechas inician las matrículas ordinarias?,Calendario Académico e Inicio de Clases,0
¿En qué fechas inician las matrículas ordinarias?,Inicio de clases para el nuevo periodo académico,0
¿En qué fechas inician las matrículas ordinarias?,Cronograma actividades académicas,0
¿En qué fechas inician las matrículas ordinarias?,Aportes Voluntarios,0
¿En qué fechas inician las matrículas ordinarias?,¿Cómo hacer aportes voluntarios?,0
¿En qué fechas inician las matrículas ordinarias?,Aportes a la FEPON,0
¿En qué fechas inician las matrículas ordinarias?,Pérdida de la Gratuidad,0
¿En qué fechas inician las matrículas ordinarias?,Pérdida de gratuidad por cambio de carrera,0
¿En qué fechas inician las matrículas ordinarias?,¿Bajo qué circunstancias se puede perder la gratuidad?,0
¿En qué fechas inician las matrículas ordinarias?,"Retiro Voluntario de una, varias o todas las Asignaturas",0
¿En qué fechas inician las matrículas ordinarias?,Formulario para el retiro voluntario de asignaturas,0
¿En qué fechas inician las matrículas ordinarias?,Proceso retirar todas las asignaturas,0
